,"colony,date,ant_id,x,y,file_name,ant_type"
0,"N13,8/15/12,100,1116.23034,660.5,1325,2"
1,"N13,8/15/12,100,1139.15169,556.679775,1204,2"
2,"N13,8/15/12,100,1129.71348,489.264045,1120,2"
3,"N13,8/15/12,100,993.533708,493.308989,1020,2"
4,"N13,8/15/12,100,1005.66854,506.792135,1008,2"
5,"N13,8/15/12,100,992.185393,504.095506,986,2"
6,"N13,8/15/12,100,1027.24157,545.893258,926,2"
7,"N13,8/15/12,100,1043.42135,533.758427,885,2"
8,"N13,8/15/12,100,1127.01685,454.207865,807,2"
9,"N13,8/15/12,100,1145.89326,491.960674,789,2"
10,"N13,8/15/12,101,1127.01685,691.511236,2586,2"
11,"N13,8/15/12,101,1155.33146,647.016854,2524,2"
12,"N13,8/15/12,101,1143.19663,624.095506,2486,2"
13,"N13,8/15/12,101,1108.14045,655.106742,2347,2"
14,"N13,8/15/12,102,1144.54494,489.264045,8779,2"
15,"N13,8/15/12,102,1182.29775,382.747191,8692,2"
16,"N13,8/15/12,102,1170.16292,630.837079,8252,2"
17,"N13,8/15/12,102,1144.54494,497.353933,8497,2"
18,"N13,8/15/12,102,1143.19663,606.567416,8292,2"
19,"N13,8/15/12,102,1120.27528,655.106742,8218,2"
20,"N13,8/15/12,103,1059.60112,657.803371,2923,2"
21,"N13,8/15/12,103,1033.98315,621.398876,2874,2"
22,"N13,8/15/12,103,1069.03933,638.926966,2846,2"
23,"N13,8/15/12,103,1109.48876,648.365169,2814,2"
24,"N13,8/15/12,103,1127.01685,665.893258,2799,2"
25,"N13,8/15/12,104,1067.69101,649.713483,6326,2"
26,"N13,8/15/12,104,1078.47753,647.016854,6299,2"
27,"N13,8/15/12,104,1081.17416,595.780899,6270,2"
28,"N13,8/15/12,104,1042.07303,580.949438,6199,2"
29,"N13,8/15/12,104,1116.23034,621.398876,6155,2"
30,"N13,8/15/12,104,1112.18539,671.286517,6095,2"
